City,Days,Mean_AQI,Median_AQI,Std_AQI,Max_AQI_raw,Unhealthy_pct
Ahmedabad,1334,356.0,384.5,138.5,2049.0,81.9
Delhi,1999,258.1,257.0,116.0,716.0,65.1
Patna,1459,240.1,215.0,120.7,619.0,53.5
Gurugram,1453,223.7,208.0,115.4,891.0,51.8
Lucknow,1893,217.5,198.0,115.4,707.0,49.4
Talcher,698,172.7,128.5,104.3,570.0,29.4
Jorapokhar,771,158.7,133.0,82.3,604.0,22.4
Brajrajnagar,713,150.3,122.0,70.4,355.0,21.9
Kolkata,754,140.6,94.0,104.5,475.0,26.3
Guwahati,495,138.5,98.0,104.4,956.0,26.9
Jaipur,1094,133.7,122.0,54.3,457.0,11.2
Bhopal,278,132.8,120.0,56.0,312.0,12.6
Amritsar,1126,119.2,101.0,71.8,869.0,10.7
Visakhapatnam,1171,117.3,106.0,54.9,387.0,7.9
Chennai,1884,114.5,100.0,52.0,449.0,6.7
Hyderabad,1880,109.0,104.0,51.1,737.0,3.8
Mumbai,775,105.4,91.0,47.4,307.0,4.6
Kochi,158,104.3,99.0,34.0,277.0,1.3
Chandigarh,299,96.5,82.0,57.2,335.0,7.7
Amaravati,841,95.3,78.0,56.1,312.0,6.5
Bengaluru,1910,94.3,86.0,39.9,352.0,2.1
Ernakulam,153,92.4,94.0,19.4,180.0,0.0
Thiruvananthapuram,1052,75.9,68.0,28.4,230.0,0.4
Coimbatore,344,73.0,75.0,18.1,120.0,0.0
Shillong,205,53.8,48.0,28.4,182.0,0.0
Aizawl,111,34.8,23.0,20.0,92.0,0.0
