City,"Lockdown
(Apr–Jun 2020)","Pre-Lockdown
(Jan–Mar 2020)",Change_%
Chennai,81.7,78.7,-3.7
Brajrajnagar,132.5,140.0,5.7
Ernakulam,90.0,95.3,5.9
Jaipur,98.0,112.6,14.9
Jorapokhar,131.2,164.5,25.4
Chandigarh,62.1,80.7,30.0
Amritsar,80.7,105.0,30.1
Amaravati,50.5,69.3,37.2
Bhopal,95.3,133.8,40.4
Coimbatore,56.2,79.6,41.6
Bengaluru,65.7,94.1,43.2
Gurugram,130.4,186.9,43.3
Hyderabad,64.0,92.7,44.8
Kochi,85.2,129.3,51.8
Visakhapatnam,67.4,102.6,52.2
Thiruvananthapuram,52.8,80.4,52.3
Patna,117.6,207.6,76.5
Delhi,129.3,234.9,81.7
Talcher,108.5,209.1,92.7
Lucknow,107.6,207.6,92.9
Shillong,35.3,76.6,117.0
Mumbai,63.9,143.8,125.0
Aizawl,28.1,65.4,132.7
Ahmedabad,116.1,317.8,173.7
Kolkata,56.6,178.8,215.9
Guwahati,74.1,250.3,237.8
